date,Arson and Criminal Damage,Burglary,Drug Offences,Miscellaneous Crimes Against Society,Possession of Weapons,Public Order Offences,Robbery,Sexual Offences,Theft,Vehicle Offences,Violence Against the Person,total_crime_cases
201812,4648,7131,3226,805,604,3629,2950,1304,19186,9535,17659,70677
201901,4530,7436,3439,842,629,3444,2921,1489,18906,10780,17108,71524
201902,4346,6658,3401,870,643,3600,2960,1379,19633,9606,16527,69623
201903,4931,7203,4347,983,810,4351,3155,1515,21182,10707,18404,77588
201904,4653,6290,3631,884,546,3992,3369,1402,21205,10026,17179,73177
201905,4836,6384,3827,992,627,4417,3250,1521,21372,9824,18504,75554
201906,4640,6344,4014,923,550,4515,3103,1643,20848,9845,18735,75160
201907,4825,6293,4492,955,572,5132,3354,1681,22212,10131,19931,79578
201908,4522,6137,4763,857,606,4532,3015,1418,20326,10003,18254,74433
201909,4465,6488,3906,915,542,4304,3259,1477,19351,11083,18110,73900
201910,4767,7260,3923,946,589,4506,3656,1526,21713,11787,18519,79192
201911,4487,7072,3950,946,554,4245,3764,1591,20922,11142,18567,77240
201912,4508,6810,3412,862,523,4015,3309,1411,19959,10840,17966,73615
202001,4388,6968,4620,925,688,4140,3313,1549,18713,12004,17761,75069
202002,4312,6284,4110,829,517,3951,3174,1662,19555,10640,16943,71977
202003,4333,5338,3896,891,558,3975,2681,1397,14698,9386,17363,64516
202004,3463,3644,5197,814,497,3472,1093,903,7239,6313,15285,47920
202005,3884,3879,6669,871,597,4247,1289,1181,8907,7208,17599,56331
202006,4324,4296,4816,923,503,4941,1687,1411,11440,8051,18810,61202
202007,4682,4937,4726,936,514,5663,2165,1653,15078,8943,20012,69309
202008,4692,4987,3663,835,506,5477,2484,1575,16075,8864,20214,69372
202009,4296,5181,3620,1012,533,5204,2572,1570,16532,10099,19333,69952
