boroughs_name,202003,202006,ACD,202003,202006,B,202003,202006,DO,202003,202006,PW,202003,202006,POO,202003,202006,R,202003,202006,SO,202003,202006,T,202003,202006,VO,202003,202006,VAP
Barking and Dagenham,109,123,0.128440367,126,79,-0.373015873,111,189,0.702702703,14,20,0.428571429,101,100,-0.00990099,80,50,-0.375,48,34,-0.291666667,314,217,-0.308917197,220,177,-0.195454545,589,533,-0.095076401
Barnet,188,150,-0.20212766,257,166,-0.354085603,77,96,0.246753247,14,13,-0.071428571,120,160,0.333333333,112,54,-0.517857143,37,34,-0.081081081,401,392,-0.02244389,411,356,-0.133819951,640,615,-0.0390625
Bexley,116,78,-0.327586207,98,56,-0.428571429,51,65,0.274509804,7,11,0.571428571,98,95,-0.030612245,28,29,0.035714286,26,24,-0.076923077,188,174,-0.074468085,216,190,-0.12037037,422,448,0.061611374
Brent,162,164,0.012345679,173,155,-0.104046243,136,209,0.536764706,15,11,-0.266666667,152,191,0.256578947,88,68,-0.227272727,48,53,0.104166667,391,372,-0.04859335,347,367,0.057636888,687,751,0.093158661
Bromley,147,135,-0.081632653,176,112,-0.363636364,90,95,0.055555556,14,16,0.142857143,109,148,0.357798165,38,31,-0.184210526,42,47,0.119047619,331,260,-0.214501511,287,260,-0.094076655,478,570,0.192468619
Camden,120,123,0.025,222,172,-0.225225225,143,151,0.055944056,8,17,1.125,147,174,0.183673469,133,69,-0.481203008,44,51,0.159090909,1018,493,-0.515717092,256,251,-0.01953125,556,579,0.041366906
Croydon,203,196,-0.034482759,247,160,-0.352226721,236,209,-0.11440678,36,25,-0.305555556,178,239,0.342696629,86,76,-0.11627907,57,79,0.385964912,414,339,-0.18115942,536,394,-0.264925373,866,913,0.054272517
Ealing,168,165,-0.017857143,177,140,-0.209039548,176,206,0.170454545,13,20,0.538461538,174,201,0.155172414,73,66,-0.095890411,65,55,-0.153846154,377,341,-0.095490716,349,326,-0.065902579,703,726,0.032716927
Enfield,145,170,0.172413793,272,151,-0.444852941,112,175,0.5625,25,21,-0.16,151,167,0.105960265,105,64,-0.39047619,51,46,-0.098039216,301,306,0.016611296,485,421,-0.131958763,632,766,0.212025316
Greenwich,180,170,-0.055555556,128,131,0.0234375,123,190,0.544715447,20,17,-0.15,129,176,0.364341085,69,54,-0.217391304,61,55,-0.098360656,327,343,0.048929664,307,210,-0.315960912,638,715,0.120689655
Hackney,130,156,0.2,164,208,0.268292683,100,135,0.35,20,23,0.15,161,219,0.360248447,187,69,-0.631016043,56,52,-0.071428571,652,577,-0.115030675,233,253,0.08583691,626,687,0.097444089
Hammersmith and Fulham,87,90,0.034482759,152,84,-0.447368421,97,114,0.175257732,11,6,-0.454545455,109,137,0.256880734,53,31,-0.41509434,28,32,0.142857143,386,295,-0.235751295,217,123,-0.433179724,408,415,0.017156863
Haringey,166,152,-0.084337349,158,111,-0.297468354,197,164,-0.16751269,34,16,-0.529411765,122,166,0.360655738,128,94,-0.265625,45,56,0.244444444,433,446,0.030023095,428,362,-0.154205607,597,689,0.154103853
Harrow,90,72,-0.2,131,74,-0.435114504,67,67,0,7,12,0.714285714,83,86,0.036144578,34,19,-0.441176471,22,20,-0.090909091,210,119,-0.433333333,287,191,-0.334494774,383,349,-0.088772846
Havering,107,83,-0.224299065,139,87,-0.374100719,78,106,0.358974359,21,14,-0.333333333,91,111,0.21978022,33,35,0.060606061,38,17,-0.552631579,258,201,-0.220930233,214,171,-0.200934579,422,393,-0.068720379
Hillingdon,173,184,0.063583815,150,144,-0.04,144,169,0.173611111,19,23,0.210526316,177,183,0.033898305,46,32,-0.304347826,38,38,0,571,320,-0.439579685,342,341,-0.002923977,613,680,0.109298532
Hounslow,143,128,-0.104895105,164,122,-0.256097561,152,158,0.039473684,19,14,-0.263157895,129,143,0.108527132,65,42,-0.353846154,40,29,-0.275,339,314,-0.073746313,340,282,-0.170588235,639,676,0.057902973
Islington,122,117,-0.040983607,166,176,0.060240964,110,137,0.245454545,14,14,0,117,177,0.512820513,109,56,-0.486238532,31,35,0.129032258,603,442,-0.266998342,197,206,0.045685279,474,528,0.113924051
Kensington and Chelsea,63,80,0.26984127,157,105,-0.331210191,65,96,0.476923077,15,14,-0.066666667,75,101,0.346666667,64,21,-0.671875,34,28,-0.176470588,443,318,-0.282167043,226,132,-0.415929204,291,360,0.237113402
Kingston upon Thames,57,61,0.070175439,68,63,-0.073529412,71,101,0.422535211,12,6,-0.5,42,58,0.380952381,25,14,-0.44,28,24,-0.142857143,206,154,-0.252427184,96,107,0.114583333,265,286,0.079245283
Lambeth,175,197,0.125714286,207,173,-0.164251208,171,179,0.046783626,31,27,-0.129032258,174,209,0.201149425,96,88,-0.083333333,60,81,0.35,590,451,-0.23559322,205,213,0.03902439,735,796,0.082993197
Lewisham,167,210,0.25748503,170,210,0.235294118,121,130,0.074380165,26,18,-0.307692308,131,205,0.564885496,88,49,-0.443181818,53,58,0.094339623,375,364,-0.029333333,252,322,0.277777778,674,687,0.019287834
Merton,94,78,-0.170212766,93,68,-0.268817204,91,93,0.021978022,4,4,0,66,104,0.575757576,29,25,-0.137931034,25,26,0.04,197,181,-0.081218274,225,145,-0.355555556,291,357,0.226804124
Newham,167,160,-0.041916168,140,128,-0.085714286,180,274,0.522222222,31,22,-0.290322581,138,179,0.297101449,200,104,-0.48,67,64,-0.044776119,592,530,-0.10472973,277,305,0.101083032,698,816,0.169054441
Redbridge,128,126,-0.015625,155,101,-0.348387097,118,165,0.398305085,15,18,0.2,108,118,0.092592593,76,41,-0.460526316,43,45,0.046511628,330,309,-0.063636364,389,316,-0.187660668,511,635,0.242661448
Richmond upon Thames,54,62,0.148148148,103,93,-0.097087379,41,67,0.634146341,7,6,-0.142857143,71,94,0.323943662,23,25,0.086956522,21,22,0.047619048,176,203,0.153409091,177,155,-0.124293785,225,272,0.208888889
Southwark,164,183,0.115853659,166,211,0.271084337,159,164,0.031446541,23,23,0,145,168,0.15862069,135,103,-0.237037037,57,70,0.228070175,656,635,-0.032012195,243,277,0.139917695,619,647,0.045234249
Sutton,82,90,0.097560976,100,73,-0.27,49,93,0.897959184,13,6,-0.538461538,76,83,0.092105263,32,15,-0.53125,37,29,-0.216216216,188,170,-0.095744681,272,167,-0.386029412,334,355,0.062874251
Tower Hamlets,191,123,-0.356020942,197,211,0.07106599,188,276,0.468085106,14,28,1,151,189,0.251655629,103,62,-0.398058252,41,57,0.390243902,497,564,0.134808853,358,251,-0.298882682,648,654,0.009259259
Waltham Forest,155,146,-0.058064516,169,169,0,123,180,0.463414634,11,15,0.363636364,93,120,0.290322581,71,43,-0.394366197,37,40,0.081081081,379,443,0.168865435,392,264,-0.326530612,457,561,0.227571116
Wandsworth,116,132,0.137931034,199,170,-0.145728643,116,113,-0.025862069,17,6,-0.647058824,116,173,0.49137931,44,64,0.454545455,41,56,0.365853659,345,414,0.2,304,295,-0.029605263,498,580,0.164658635
Westminster,164,220,0.341463415,314,193,-0.385350318,203,250,0.231527094,28,17,-0.392857143,241,267,0.107883817,228,94,-0.587719298,76,54,-0.289473684,2210,753,-0.659276018,298,221,-0.258389262,744,771,0.036290323
